town,county,office,district,party,candidate,winner,votes
Acworth,Sullivan,U.S. House,2,R,Will Dean,False,0
Alexandria,Grafton,U.S. House,2,R,Will Dean,False,0
Allenstown,Merrimack,U.S. House,2,R,Will Dean,False,0
Alstead,Cheshire,U.S. House,2,R,Will Dean,False,0
Amherst,Hillsborough,U.S. House,2,R,Will Dean,False,1
Andover,Merrimack,U.S. House,2,R,Will Dean,False,0
Antrim,Hillsborough,U.S. House,2,R,Will Dean,False,0
Ashland,Grafton,U.S. House,2,R,Will Dean,False,0
At. & Gil. Academy Grant,Coos,U.S. House,2,R,Will Dean,False,0
Atkinson,Rockingham,U.S. House,2,R,Will Dean,False,0
Bath,Grafton,U.S. House,2,R,Will Dean,False,0
Bean's Grant,Coos,U.S. House,2,R,Will Dean,False,0
Bean's Purchase,Coos,U.S. House,2,R,Will Dean,False,0
Bennington,Hillsborough,U.S. House,2,R,Will Dean,False,0
Benton,Grafton,U.S. House,2,R,Will Dean,False,0
Berlin,Coos,U.S. House,2,R,Will Dean,False,0
Bethlehem,Grafton,U.S. House,2,R,Will Dean,False,0
Boscawen,Merrimack,U.S. House,2,R,Will Dean,False,0
Bow,Merrimack,U.S. House,2,R,Will Dean,False,0
Bradford,Merrimack,U.S. House,2,R,Will Dean,False,0
Bridgewater,Grafton,U.S. House,2,R,Will Dean,False,0
Bristol,Grafton,U.S. House,2,R,Will Dean,False,0
Brookline,Hillsborough,U.S. House,2,R,Will Dean,False,0
Cambridge,Coos,U.S. House,2,R,Will Dean,False,0
Canaan,Grafton,U.S. House,2,R,Will Dean,False,0
Canterbury,Merrimack,U.S. House,2,R,Will Dean,False,0
Carroll,Coos,U.S. House,2,R,Will Dean,False,0
Center Harbor,Belknap,U.S. House,2,R,Will Dean,False,0
Chandler's Purchase,Coos,U.S. House,2,R,Will Dean,False,0
Charlestown,Sullivan,U.S. House,2,R,Will Dean,False,0
Chesterfield,Cheshire,U.S. House,2,R,Will Dean,False,0
Chichester,Merrimack,U.S. House,2,R,Will Dean,False,0
Claremont,Sullivan,U.S. House,2,R,Will Dean,False,0
Clarksville,Coos,U.S. House,2,R,Will Dean,False,0
Colebrook,Coos,U.S. House,2,R,Will Dean,False,0
Columbia,Coos,U.S. House,2,R,Will Dean,False,0
Concord,Merrimack,U.S. House,2,R,Will Dean,False,0
Cornish,Sullivan,U.S. House,2,R,Will Dean,False,0
Crawford's Purchase,Coos,U.S. House,2,R,Will Dean,False,0
Croydon,Sullivan,U.S. House,2,R,Will Dean,False,0
Cutt's Grant,Coos,U.S. House,2,R,Will Dean,False,0
Dalton,Coos,U.S. House,2,R,Will Dean,False,0
Danbury,Merrimack,U.S. House,2,R,Will Dean,False,0
Deerfield,Rockingham,U.S. House,2,R,Will Dean,False,0
Deering,Hillsborough,U.S. House,2,R,Will Dean,False,0
Dix's Grant,Coos,U.S. House,2,R,Will Dean,False,0
Dixville,Coos,U.S. House,2,R,Will Dean,False,0
Dorchester,Grafton,U.S. House,2,R,Will Dean,False,0
Dublin,Cheshire,U.S. House,2,R,Will Dean,False,0
Dummer,Coos,U.S. House,2,R,Will Dean,False,0
Dunbarton,Merrimack,U.S. House,2,R,Will Dean,False,0
Easton,Grafton,U.S. House,2,R,Will Dean,False,0
Ellsworth,Grafton,U.S. House,2,R,Will Dean,False,0
Enfield,Grafton,U.S. House,2,R,Will Dean,False,0
Epsom,Merrimack,U.S. House,2,R,Will Dean,False,0
Errol,Coos,U.S. House,2,R,Will Dean,False,0
Erving's Location,Coos,U.S. House,2,R,Will Dean,False,0
Fitzwilliam,Cheshire,U.S. House,2,R,Will Dean,False,0
Francestown,Hillsborough,U.S. House,2,R,Will Dean,False,0
Franconia,Grafton,U.S. House,2,R,Will Dean,False,0
Franklin,Merrimack,U.S. House,2,R,Will Dean,False,0
Gilsum,Cheshire,U.S. House,2,R,Will Dean,False,0
Gorham,Coos,U.S. House,2,R,Will Dean,False,0
Goshen,Sullivan,U.S. House,2,R,Will Dean,False,0
Grafton,Grafton,U.S. House,2,R,Will Dean,False,0
Grantham,Sullivan,U.S. House,2,R,Will Dean,False,0
Green's Grant,Coos,U.S. House,2,R,Will Dean,False,0
Greenfield,Hillsborough,U.S. House,2,R,Will Dean,False,0
Greenville,Hillsborough,U.S. House,2,R,Will Dean,False,0
Groton,Grafton,U.S. House,2,R,Will Dean,False,0
Hadley's Purchase,Coos,U.S. House,2,R,Will Dean,False,0
Hancock,Hillsborough,U.S. House,2,R,Will Dean,False,0
Hanover,Grafton,U.S. House,2,R,Will Dean,False,0
Harrisville,Cheshire,U.S. House,2,R,Will Dean,False,0
Haverhill,Grafton,U.S. House,2,R,Will Dean,False,0
Hebron,Grafton,U.S. House,2,R,Will Dean,False,0
Henniker,Merrimack,U.S. House,2,R,Will Dean,False,0
Hill,Merrimack,U.S. House,2,R,Will Dean,False,0
Hillsborough,Hillsborough,U.S. House,2,R,Will Dean,False,0
Hinsdale,Cheshire,U.S. House,2,R,Will Dean,False,0
Holderness,Grafton,U.S. House,2,R,Will Dean,False,0
Hollis,Hillsborough,U.S. House,2,R,Will Dean,False,0
Hopkinton,Merrimack,U.S. House,2,R,Will Dean,False,0
Hudson,Hillsborough,U.S. House,2,R,Will Dean,False,1
