town,county,office,district,party,candidate,winner,votes
Center Harbor,Belknap,State Representative,1,D,Gulick,True,68
New Hampton,Belknap,State Representative,1,D,Gulick,True,155
Center Harbor,Belknap,State Representative,1,R,Quinney,False,0
New Hampton,Belknap,State Representative,1,R,Quinney,False,1
Center Harbor,Belknap,State Representative,1,,Scatter,False,2
New Hampton,Belknap,State Representative,1,,Scatter,False,0
Gilford,Belknap,State Representative,2,D,DiMartino,True,494
Meredith,Belknap,State Representative,2,D,DiMartino,True,258
Gilford,Belknap,State Representative,2,R,"Greemore, Jr.",False,1
Meredith,Belknap,State Representative,2,R,"Greemore, Jr.",False,1
Gilford,Belknap,State Representative,2,D,Johnson,True,425
Meredith,Belknap,State Representative,2,D,Johnson,True,242
Gilford,Belknap,State Representative,2,R,Leandro,False,0
Meredith,Belknap,State Representative,2,R,Leandro,False,0
Gilford,Belknap,State Representative,2,D,Miller,True,389
Meredith,Belknap,State Representative,2,D,Miller,True,355
Gilford,Belknap,State Representative,2,D,Mucci,True,374
Meredith,Belknap,State Representative,2,D,Mucci,True,281
Gilford,Belknap,State Representative,2,,Scatter,False,12
Meredith,Belknap,State Representative,2,,Scatter,False,3
Gilford,Belknap,State Representative,2,R,Vadney,False,1
Meredith,Belknap,State Representative,2,R,Vadney,False,2
Gilford,Belknap,State Representative,2,R,Worsman,False,1
Meredith,Belknap,State Representative,2,R,Worsman,False,0
Laconia,Belknap,State Representative,3,D,Fisher,True,528
Laconia,Belknap,State Representative,3,D,Huot,True,680
Laconia,Belknap,State Representative,3,D,Smith,True,578
Laconia,Belknap,State Representative,3,D,Vaillancourt,True,559
Laconia,Belknap,State Representative,3,R,Deshaies,False,0
Laconia,Belknap,State Representative,3,R,Flanders,False,5
Laconia,Belknap,State Representative,3,R,Kingsbury,False,0
Laconia,Belknap,State Representative,3,R,Luther,False,0
Laconia,Belknap,State Representative,3,,Scatter,False,2
Laconia,Belknap,State Representative,3,R,Tilton,False,3
Sanbornton,Belknap,State Representative,4,D,Alden,True,83
Tilton,Belknap,State Representative,4,D,Alden,True,170
Sanbornton,Belknap,State Representative,4,R,Fields,False,4
Tilton,Belknap,State Representative,4,R,Fields,False,0
Sanbornton,Belknap,State Representative,4,R,"Lang, Sr.",False,0
Tilton,Belknap,State Representative,4,R,"Lang, Sr.",False,0
Sanbornton,Belknap,State Representative,4,D,Raymond,True,215
Tilton,Belknap,State Representative,4,D,Raymond,True,128
Sanbornton,Belknap,State Representative,4,D,Robinson,False,75
Tilton,Belknap,State Representative,4,D,Robinson,False,99
Sanbornton,Belknap,State Representative,4,,Scatter,False,2
Tilton,Belknap,State Representative,4,,Scatter,False,0
Alton,Belknap,State Representative,5,R,Burchell,False,0
Gilmanton,Belknap,State Representative,5,R,Burchell,False,1
Alton,Belknap,State Representative,5,D,Chase,True,158
Gilmanton,Belknap,State Representative,5,D,Chase,True,229
Alton,Belknap,State Representative,5,D,Henry,True,139
Gilmanton,Belknap,State Representative,5,D,Henry,True,92
Alton,Belknap,State Representative,5,R,Holmes,False,0
Gilmanton,Belknap,State Representative,5,R,Holmes,False,0
Alton,Belknap,State Representative,5,,Scatter,False,6
Gilmanton,Belknap,State Representative,5,,Scatter,False,1
Belmont,Belknap,State Representative,6,D,Condo-demetraky,True,148
Belmont,Belknap,State Representative,6,D,Cormier,True,226
Belmont,Belknap,State Representative,6,,Scatter,False,4
Barnstead,Belknap,State Representative,7,R,Comtois,False,3
Barnstead,Belknap,State Representative,7,D,Marriott,True,267
Barnstead,Belknap,State Representative,7,,Scatter,False,1
Barnstead,Belknap,State Representative,7,R,Swinford,False,8
Alton,Belknap,State Representative,8,R,Bolster,False,0
Barnstead,Belknap,State Representative,8,R,Bolster,False,1
Gilmanton,Belknap,State Representative,8,R,Bolster,False,2
Alton,Belknap,State Representative,8,R,Cormier,False,0
Barnstead,Belknap,State Representative,8,R,Cormier,False,0
Gilmanton,Belknap,State Representative,8,R,Cormier,False,0
Alton,Belknap,State Representative,8,,Scatter,False,0
Barnstead,Belknap,State Representative,8,,Scatter,False,6
Gilmanton,Belknap,State Representative,8,,Scatter,False,0
Alton,Belknap,State Representative,8,D,Smith,False,194
Barnstead,Belknap,State Representative,8,D,Smith,False,259
Gilmanton,Belknap,State Representative,8,D,Smith,False,212
Belmont,Belknap,State Representative,9,R,Accornero,False,1
Laconia,Belknap,State Representative,9,R,Accornero,False,1
Belmont,Belknap,State Representative,9,D,Arsenault,True,277
Laconia,Belknap,State Representative,9,D,Arsenault,True,796
Belmont,Belknap,State Representative,9,R,Dewhirst,False,0
Laconia,Belknap,State Representative,9,R,Dewhirst,False,0
Belmont,Belknap,State Representative,9,,Scatter,False,1
Laconia,Belknap,State Representative,9,,Scatter,False,1
Bartlett,Carroll,State Representative,1,R,Chandler,False,2
Hart's Location,Carroll,State Representative,1,R,Chandler,False,0
Jackson,Carroll,State Representative,1,R,Chandler,False,6
Bartlett,Carroll,State Representative,1,D,Funicella,True,194
Hart's Location,Carroll,State Representative,1,D,Funicella,True,9
Jackson,Carroll,State Representative,1,D,Funicella,True,106
Bartlett,Carroll,State Representative,1,,Scatter,False,0
Hart's Location,Carroll,State Representative,1,,Scatter,False,2
Jackson,Carroll,State Representative,1,,Scatter,False,5
Chatham,Carroll,State Representative,2,D,Bridgham,False,9
Conway,Carroll,State Representative,2,D,Bridgham,False,252
Eaton,Carroll,State Representative,2,D,Bridgham,False,60
Hale's Location,Carroll,State Representative,2,D,Bridgham,False,3
Chatham,Carroll,State Representative,2,D,Buco,True,19
Conway,Carroll,State Representative,2,D,Buco,True,399
Eaton,Carroll,State Representative,2,D,Buco,True,26
Hale's Location,Carroll,State Representative,2,D,Buco,True,4
Chatham,Carroll,State Representative,2,R,McCarthy,False,0
Conway,Carroll,State Representative,2,R,McCarthy,False,6
Eaton,Carroll,State Representative,2,R,McCarthy,False,0
Hale's Location,Carroll,State Representative,2,R,McCarthy,False,0
Chatham,Carroll,State Representative,2,R,McClure,False,0
Conway,Carroll,State Representative,2,R,McClure,False,2
Eaton,Carroll,State Representative,2,R,McClure,False,0
Hale's Location,Carroll,State Representative,2,R,McClure,False,3
Chatham,Carroll,State Representative,2,D,Pollock,True,8
Conway,Carroll,State Representative,2,D,Pollock,True,339
Eaton,Carroll,State Representative,2,D,Pollock,True,40
Hale's Location,Carroll,State Representative,2,D,Pollock,True,5
Chatham,Carroll,State Representative,2,,Scatter,False,0
Conway,Carroll,State Representative,2,,Scatter,False,3
Eaton,Carroll,State Representative,2,,Scatter,False,0
Hale's Location,Carroll,State Representative,2,,Scatter,False,0
Chatham,Carroll,State Representative,2,R,Steiner,False,0
Conway,Carroll,State Representative,2,R,Steiner,False,3
Eaton,Carroll,State Representative,2,R,Steiner,False,0
Hale's Location,Carroll,State Representative,2,R,Steiner,False,0
Chatham,Carroll,State Representative,2,R,Umberger,False,0
Conway,Carroll,State Representative,2,R,Umberger,False,6
Eaton,Carroll,State Representative,2,R,Umberger,False,0
Hale's Location,Carroll,State Representative,2,R,Umberger,False,0
Chatham,Carroll,State Representative,2,D,White,True,14
Conway,Carroll,State Representative,2,D,White,True,345
Eaton,Carroll,State Representative,2,D,White,True,12
Hale's Location,Carroll,State Representative,2,D,White,True,3
Albany,Carroll,State Representative,3,R,McConkey,False,0
Freedom,Carroll,State Representative,3,R,McConkey,False,0
Madison,Carroll,State Representative,3,R,McConkey,False,0
Tamworth,Carroll,State Representative,3,R,McConkey,False,0
Albany,Carroll,State Representative,3,,Scatter,False,2
Freedom,Carroll,State Representative,3,,Scatter,False,1
Madison,Carroll,State Representative,3,,Scatter,False,0
Tamworth,Carroll,State Representative,3,,Scatter,False,9
Albany,Carroll,State Representative,3,R,Thomson,False,0
Freedom,Carroll,State Representative,3,R,Thomson,False,1
Madison,Carroll,State Representative,3,R,Thomson,False,0
Tamworth,Carroll,State Representative,3,R,Thomson,False,0
Albany,Carroll,State Representative,3,D,Ticehurst,True,42
Freedom,Carroll,State Representative,3,D,Ticehurst,True,109
Madison,Carroll,State Representative,3,D,Ticehurst,True,167
Tamworth,Carroll,State Representative,3,D,Ticehurst,True,227
Moultonborough,Carroll,State Representative,4,D,Albee,True,226
Sandwich,Carroll,State Representative,4,D,Albee,True,190
Tuftonboro,Carroll,State Representative,4,D,Albee,True,140
Moultonborough,Carroll,State Representative,4,R,Askew,False,0
Sandwich,Carroll,State Representative,4,R,Askew,False,0
Tuftonboro,Carroll,State Representative,4,R,Askew,False,0
Moultonborough,Carroll,State Representative,4,R,Cordelli,False,0
Sandwich,Carroll,State Representative,4,R,Cordelli,False,0
Tuftonboro,Carroll,State Representative,4,R,Cordelli,False,0
Moultonborough,Carroll,State Representative,4,R,Crawford,False,11
Sandwich,Carroll,State Representative,4,R,Crawford,False,0
Tuftonboro,Carroll,State Representative,4,R,Crawford,False,0
Moultonborough,Carroll,State Representative,4,R,Lyon,False,0
Sandwich,Carroll,State Representative,4,R,Lyon,False,0
Tuftonboro,Carroll,State Representative,4,R,Lyon,False,0
Moultonborough,Carroll,State Representative,4,,Scatter,False,0
Sandwich,Carroll,State Representative,4,,Scatter,False,2
Tuftonboro,Carroll,State Representative,4,,Scatter,False,5
Brookfield,Carroll,State Representative,5,D,Lavender,True,52
Effingham,Carroll,State Representative,5,D,Lavender,True,73
Ossipee,Carroll,State Representative,5,D,Lavender,True,137
Wakefield,Carroll,State Representative,5,D,Lavender,True,181
Brookfield,Carroll,State Representative,5,R,Merrow,False,0
Effingham,Carroll,State Representative,5,R,Merrow,False,2
Ossipee,Carroll,State Representative,5,R,Merrow,False,6
Wakefield,Carroll,State Representative,5,R,Merrow,False,2
Brookfield,Carroll,State Representative,5,R,Nelson,False,0
Effingham,Carroll,State Representative,5,R,Nelson,False,0
Ossipee,Carroll,State Representative,5,R,Nelson,False,1
Wakefield,Carroll,State Representative,5,R,Nelson,False,0
Brookfield,Carroll,State Representative,5,R,Olimpio,False,0
Effingham,Carroll,State Representative,5,R,Olimpio,False,0
Ossipee,Carroll,State Representative,5,R,Olimpio,False,0
Wakefield,Carroll,State Representative,5,R,Olimpio,False,0
Brookfield,Carroll,State Representative,5,,Scatter,False,6
Effingham,Carroll,State Representative,5,,Scatter,False,2
Ossipee,Carroll,State Representative,5,,Scatter,False,4
Wakefield,Carroll,State Representative,5,,Scatter,False,1
Wolfeboro,Carroll,State Representative,6,R,Ahlgren,False,0
Wolfeboro,Carroll,State Representative,6,,Scatter,False,0
Wolfeboro,Carroll,State Representative,6,R,Schmidt,False,0
Wolfeboro,Carroll,State Representative,6,D,White,True,339
Wolfeboro,Carroll,State Representative,6,D,Woods,True,409
Albany,Carroll,State Representative,7,D,Butler,True,47
Bartlett,Carroll,State Representative,7,D,Butler,True,236
Chatham,Carroll,State Representative,7,D,Butler,True,15
Conway,Carroll,State Representative,7,D,Butler,True,529
Eaton,Carroll,State Representative,7,D,Butler,True,57
Freedom,Carroll,State Representative,7,D,Butler,True,108
Hale's Location,Carroll,State Representative,7,D,Butler,True,4
Hart's Location,Carroll,State Representative,7,D,Butler,True,14
Jackson,Carroll,State Representative,7,D,Butler,True,148
Madison,Carroll,State Representative,7,D,Butler,True,176
Tamworth,Carroll,State Representative,7,D,Butler,True,221
Albany,Carroll,State Representative,7,R,Callis,False,0
Bartlett,Carroll,State Representative,7,R,Callis,False,1
Chatham,Carroll,State Representative,7,R,Callis,False,0
Conway,Carroll,State Representative,7,R,Callis,False,4
Eaton,Carroll,State Representative,7,R,Callis,False,1
Freedom,Carroll,State Representative,7,R,Callis,False,0
Hale's Location,Carroll,State Representative,7,R,Callis,False,0
Hart's Location,Carroll,State Representative,7,R,Callis,False,0
Jackson,Carroll,State Representative,7,R,Callis,False,0
Madison,Carroll,State Representative,7,R,Callis,False,0
Tamworth,Carroll,State Representative,7,R,Callis,False,0
Albany,Carroll,State Representative,7,,Scatter,False,0
Bartlett,Carroll,State Representative,7,,Scatter,False,0
Chatham,Carroll,State Representative,7,,Scatter,False,0
Conway,Carroll,State Representative,7,,Scatter,False,6
Eaton,Carroll,State Representative,7,,Scatter,False,1
Freedom,Carroll,State Representative,7,,Scatter,False,0
Hale's Location,Carroll,State Representative,7,,Scatter,False,0
Hart's Location,Carroll,State Representative,7,,Scatter,False,0
Jackson,Carroll,State Representative,7,,Scatter,False,1
Madison,Carroll,State Representative,7,,Scatter,False,0
Tamworth,Carroll,State Representative,7,,Scatter,False,0
Albany,Carroll,State Representative,7,R,Tregenza,False,0
Bartlett,Carroll,State Representative,7,R,Tregenza,False,0
Chatham,Carroll,State Representative,7,R,Tregenza,False,0
Conway,Carroll,State Representative,7,R,Tregenza,False,0
Eaton,Carroll,State Representative,7,R,Tregenza,False,0
Freedom,Carroll,State Representative,7,R,Tregenza,False,0
Hale's Location,Carroll,State Representative,7,R,Tregenza,False,0
Hart's Location,Carroll,State Representative,7,R,Tregenza,False,0
Jackson,Carroll,State Representative,7,R,Tregenza,False,0
Madison,Carroll,State Representative,7,R,Tregenza,False,0
Tamworth,Carroll,State Representative,7,R,Tregenza,False,1
Brookfield,Carroll,State Representative,8,,Scatter,False,0
Effingham,Carroll,State Representative,8,,Scatter,False,0
Moultonborough,Carroll,State Representative,8,,Scatter,False,0
Ossipee,Carroll,State Representative,8,,Scatter,False,1
Sandwich,Carroll,State Representative,8,,Scatter,False,1
Tuftonboro,Carroll,State Representative,8,,Scatter,False,0
Wakefield,Carroll,State Representative,8,,Scatter,False,0
Brookfield,Carroll,State Representative,8,D,Wiley,True,53
Effingham,Carroll,State Representative,8,D,Wiley,True,79
Moultonborough,Carroll,State Representative,8,D,Wiley,True,236
Ossipee,Carroll,State Representative,8,D,Wiley,True,158
Sandwich,Carroll,State Representative,8,D,Wiley,True,208
Tuftonboro,Carroll,State Representative,8,D,Wiley,True,132
Wakefield,Carroll,State Representative,8,D,Wiley,True,182
Brookfield,Carroll,State Representative,8,R,Wright,False,0
Effingham,Carroll,State Representative,8,R,Wright,False,0
Moultonborough,Carroll,State Representative,8,R,Wright,False,0
Ossipee,Carroll,State Representative,8,R,Wright,False,0
