town,county,office,district,party,candidate,winner,votes
At. & Gil. Academy Grant,Coos,State Senate,1,R,Dumaine,False,0
Bath,Grafton,State Senate,1,R,Dumaine,False,0
Bean's Grant,Coos,State Senate,1,R,Dumaine,False,0
Bean's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Benton,Grafton,State Senate,1,R,Dumaine,False,0
Berlin,Coos,State Senate,1,R,Dumaine,False,5
Bethlehem,Grafton,State Senate,1,R,Dumaine,False,0
Cambridge,Coos,State Senate,1,R,Dumaine,False,0
Carroll,Coos,State Senate,1,R,Dumaine,False,0
Chandler's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Clarksville,Coos,State Senate,1,R,Dumaine,False,0
Colebrook,Coos,State Senate,1,R,Dumaine,False,1
Columbia,Coos,State Senate,1,R,Dumaine,False,0
Crawford's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Cutt's Grant,Coos,State Senate,1,R,Dumaine,False,0
Dalton,Coos,State Senate,1,R,Dumaine,False,0
Dix's Grant,Coos,State Senate,1,R,Dumaine,False,0
Dixville,Coos,State Senate,1,R,Dumaine,False,0
Dummer,Coos,State Senate,1,R,Dumaine,False,0
Easton,Grafton,State Senate,1,R,Dumaine,False,0
Errol,Coos,State Senate,1,R,Dumaine,False,0
Erving's Location,Coos,State Senate,1,R,Dumaine,False,0
Franconia,Grafton,State Senate,1,R,Dumaine,False,0
Gorham,Coos,State Senate,1,R,Dumaine,False,1
Green's Grant,Coos,State Senate,1,R,Dumaine,False,0
Hadley's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Jefferson,Coos,State Senate,1,R,Dumaine,False,1
Kilkenny,Coos,State Senate,1,R,Dumaine,False,0
Lancaster,Coos,State Senate,1,R,Dumaine,False,0
Landaff,Grafton,State Senate,1,R,Dumaine,False,0
Lincoln,Grafton,State Senate,1,R,Dumaine,False,0
Lisbon,Grafton,State Senate,1,R,Dumaine,False,0
Littleton,Grafton,State Senate,1,R,Dumaine,False,1
Livermore,Grafton,State Senate,1,R,Dumaine,False,0
Low & Burbank's Grant,Coos,State Senate,1,R,Dumaine,False,0
Lyman,Grafton,State Senate,1,R,Dumaine,False,0
Martin's Location,Coos,State Senate,1,R,Dumaine,False,0
Milan,Coos,State Senate,1,R,Dumaine,False,1
Millsfield,Coos,State Senate,1,R,Dumaine,False,0
Monroe,Grafton,State Senate,1,R,Dumaine,False,0
Northumberland,Coos,State Senate,1,R,Dumaine,False,0
Odell,Coos,State Senate,1,R,Dumaine,False,0
Pinkham's Grant,Coos,State Senate,1,R,Dumaine,False,0
Pittsburg,Coos,State Senate,1,R,Dumaine,False,0
Randolph,Coos,State Senate,1,R,Dumaine,False,0
Sargent's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Second College Grant,Coos,State Senate,1,R,Dumaine,False,0
Shelburne,Coos,State Senate,1,R,Dumaine,False,0
Stark,Coos,State Senate,1,R,Dumaine,False,0
Stewartstown,Coos,State Senate,1,R,Dumaine,False,0
Stratford,Coos,State Senate,1,R,Dumaine,False,0
Success,Coos,State Senate,1,R,Dumaine,False,0
Sugar Hill,Grafton,State Senate,1,R,Dumaine,False,0
Thompson & Meserve's Pur.,Coos,State Senate,1,R,Dumaine,False,0
Thornton,Grafton,State Senate,1,R,Dumaine,False,0
Wentworth's Location,Coos,State Senate,1,R,Dumaine,False,0
Whitefield,Coos,State Senate,1,R,Dumaine,False,1
Woodstock,Grafton,State Senate,1,R,Dumaine,False,0
At. & Gil. Academy Grant,Coos,State Senate,1,,Scatter,False,0
Bath,Grafton,State Senate,1,,Scatter,False,0
Bean's Grant,Coos,State Senate,1,,Scatter,False,0
Bean's Purchase,Coos,State Senate,1,,Scatter,False,0
Benton,Grafton,State Senate,1,,Scatter,False,0
Berlin,Coos,State Senate,1,,Scatter,False,5
Bethlehem,Grafton,State Senate,1,,Scatter,False,0
Cambridge,Coos,State Senate,1,,Scatter,False,0
Carroll,Coos,State Senate,1,,Scatter,False,0
Chandler's Purchase,Coos,State Senate,1,,Scatter,False,0
Clarksville,Coos,State Senate,1,,Scatter,False,0
Colebrook,Coos,State Senate,1,,Scatter,False,0
Columbia,Coos,State Senate,1,,Scatter,False,0
Crawford's Purchase,Coos,State Senate,1,,Scatter,False,0
Cutt's Grant,Coos,State Senate,1,,Scatter,False,0
Dalton,Coos,State Senate,1,,Scatter,False,0
Dix's Grant,Coos,State Senate,1,,Scatter,False,0
Dixville,Coos,State Senate,1,,Scatter,False,0
Dummer,Coos,State Senate,1,,Scatter,False,0
Easton,Grafton,State Senate,1,,Scatter,False,0
Errol,Coos,State Senate,1,,Scatter,False,3
Erving's Location,Coos,State Senate,1,,Scatter,False,0
Franconia,Grafton,State Senate,1,,Scatter,False,0
Gorham,Coos,State Senate,1,,Scatter,False,1
Green's Grant,Coos,State Senate,1,,Scatter,False,0
Hadley's Purchase,Coos,State Senate,1,,Scatter,False,0
Jefferson,Coos,State Senate,1,,Scatter,False,1
Kilkenny,Coos,State Senate,1,,Scatter,False,0
Lancaster,Coos,State Senate,1,,Scatter,False,3
Landaff,Grafton,State Senate,1,,Scatter,False,0
Lincoln,Grafton,State Senate,1,,Scatter,False,0
Lisbon,Grafton,State Senate,1,,Scatter,False,0
Littleton,Grafton,State Senate,1,,Scatter,False,3
Livermore,Grafton,State Senate,1,,Scatter,False,0
Low & Burbank's Grant,Coos,State Senate,1,,Scatter,False,0
Lyman,Grafton,State Senate,1,,Scatter,False,0
Martin's Location,Coos,State Senate,1,,Scatter,False,0
Milan,Coos,State Senate,1,,Scatter,False,0
Millsfield,Coos,State Senate,1,,Scatter,False,0
Monroe,Grafton,State Senate,1,,Scatter,False,0
Northumberland,Coos,State Senate,1,,Scatter,False,2
Odell,Coos,State Senate,1,,Scatter,False,0
Pinkham's Grant,Coos,State Senate,1,,Scatter,False,0
Pittsburg,Coos,State Senate,1,,Scatter,False,0
Randolph,Coos,State Senate,1,,Scatter,False,0
Sargent's Purchase,Coos,State Senate,1,,Scatter,False,0
Second College Grant,Coos,State Senate,1,,Scatter,False,0
Shelburne,Coos,State Senate,1,,Scatter,False,0
Stark,Coos,State Senate,1,,Scatter,False,0
Stewartstown,Coos,State Senate,1,,Scatter,False,0
Stratford,Coos,State Senate,1,,Scatter,False,0
Success,Coos,State Senate,1,,Scatter,False,0
Sugar Hill,Grafton,State Senate,1,,Scatter,False,2
Thompson & Meserve's Pur.,Coos,State Senate,1,,Scatter,False,2
Thornton,Grafton,State Senate,1,,Scatter,False,0
Wentworth's Location,Coos,State Senate,1,,Scatter,False,0
Whitefield,Coos,State Senate,1,,Scatter,False,0
Woodstock,Grafton,State Senate,1,,Scatter,False,0
At. & Gil. Academy Grant,Coos,State Senate,1,R,Warner,False,0
Bath,Grafton,State Senate,1,R,Warner,False,1
Bean's Grant,Coos,State Senate,1,R,Warner,False,0
Bean's Purchase,Coos,State Senate,1,R,Warner,False,0
Benton,Grafton,State Senate,1,R,Warner,False,0
Berlin,Coos,State Senate,1,R,Warner,False,0
Bethlehem,Grafton,State Senate,1,R,Warner,False,0
Cambridge,Coos,State Senate,1,R,Warner,False,0
Carroll,Coos,State Senate,1,R,Warner,False,0
Chandler's Purchase,Coos,State Senate,1,R,Warner,False,0
Clarksville,Coos,State Senate,1,R,Warner,False,0
Colebrook,Coos,State Senate,1,R,Warner,False,0
Columbia,Coos,State Senate,1,R,Warner,False,0
Crawford's Purchase,Coos,State Senate,1,R,Warner,False,0
Cutt's Grant,Coos,State Senate,1,R,Warner,False,0
Dalton,Coos,State Senate,1,R,Warner,False,0
Dix's Grant,Coos,State Senate,1,R,Warner,False,0
Dixville,Coos,State Senate,1,R,Warner,False,0
Dummer,Coos,State Senate,1,R,Warner,False,0
Easton,Grafton,State Senate,1,R,Warner,False,0
Errol,Coos,State Senate,1,R,Warner,False,0
Erving's Location,Coos,State Senate,1,R,Warner,False,0
Franconia,Grafton,State Senate,1,R,Warner,False,2
Gorham,Coos,State Senate,1,R,Warner,False,1
Green's Grant,Coos,State Senate,1,R,Warner,False,0
