town,county,office,district,party,candidate,winner,votes
Albany,Carroll,Executive Council,1,D,Beth Funicella,False,0
Alexandria,Grafton,Executive Council,1,D,Beth Funicella,False,0
Alton,Belknap,Executive Council,1,D,Beth Funicella,False,1
Andover,Merrimack,Executive Council,1,D,Beth Funicella,False,2
Ashland,Grafton,Executive Council,1,D,Beth Funicella,False,0
At. & Gil. Academy Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Bartlett,Carroll,Executive Council,1,D,Beth Funicella,False,0
Bath,Grafton,Executive Council,1,D,Beth Funicella,False,0
Bean's Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Bean's Purchase,Coos,Executive Council,1,D,Beth Funicella,False,0
Benton,Grafton,Executive Council,1,D,Beth Funicella,False,0
Berlin,Coos,Executive Council,1,D,Beth Funicella,False,1
Bethlehem,Grafton,Executive Council,1,D,Beth Funicella,False,0
Bridgewater,Grafton,Executive Council,1,D,Beth Funicella,False,0
Bristol,Grafton,Executive Council,1,D,Beth Funicella,False,0
Brookfield,Carroll,Executive Council,1,D,Beth Funicella,False,1
Cambridge,Coos,Executive Council,1,D,Beth Funicella,False,0
Campton,Grafton,Executive Council,1,D,Beth Funicella,False,0
Canaan,Grafton,Executive Council,1,D,Beth Funicella,False,0
Carroll,Coos,Executive Council,1,D,Beth Funicella,False,0
Center Harbor,Belknap,Executive Council,1,D,Beth Funicella,False,0
Chandler's Purchase,Coos,Executive Council,1,D,Beth Funicella,False,0
Chatham,Carroll,Executive Council,1,D,Beth Funicella,False,0
Claremont,Sullivan,Executive Council,1,D,Beth Funicella,False,1
Clarksville,Coos,Executive Council,1,D,Beth Funicella,False,0
Colebrook,Coos,Executive Council,1,D,Beth Funicella,False,0
Columbia,Coos,Executive Council,1,D,Beth Funicella,False,1
Conway,Carroll,Executive Council,1,D,Beth Funicella,False,0
Cornish,Sullivan,Executive Council,1,D,Beth Funicella,False,0
Crawford's Purchase,Coos,Executive Council,1,D,Beth Funicella,False,0
Croydon,Sullivan,Executive Council,1,D,Beth Funicella,False,0
Cutt's Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Dalton,Coos,Executive Council,1,D,Beth Funicella,False,1
Danbury,Merrimack,Executive Council,1,D,Beth Funicella,False,0
Dix's Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Dixville,Coos,Executive Council,1,D,Beth Funicella,False,0
Dorchester,Grafton,Executive Council,1,D,Beth Funicella,False,0
Dummer,Coos,Executive Council,1,D,Beth Funicella,False,0
Easton,Grafton,Executive Council,1,D,Beth Funicella,False,0
Eaton,Carroll,Executive Council,1,D,Beth Funicella,False,0
Effingham,Carroll,Executive Council,1,D,Beth Funicella,False,1
Ellsworth,Grafton,Executive Council,1,D,Beth Funicella,False,0
Enfield,Grafton,Executive Council,1,D,Beth Funicella,False,0
Errol,Coos,Executive Council,1,D,Beth Funicella,False,0
Erving's Location,Coos,Executive Council,1,D,Beth Funicella,False,0
Franconia,Grafton,Executive Council,1,D,Beth Funicella,False,0
Freedom,Carroll,Executive Council,1,D,Beth Funicella,False,0
