town,county,office,district,party,candidate,winner,votes
Acworth,Sullivan,Governor,,D,Jackie Cilley,False,0
Albany,Carroll,Governor,,D,Jackie Cilley,False,1
Alexandria,Grafton,Governor,,D,Jackie Cilley,False,5
Allenstown,Merrimack,Governor,,D,Jackie Cilley,False,2
Alstead,Cheshire,Governor,,D,Jackie Cilley,False,0
Alton,Belknap,Governor,,D,Jackie Cilley,False,3
Amherst,Hillsborough,Governor,,D,Jackie Cilley,False,3
Andover,Merrimack,Governor,,D,Jackie Cilley,False,3
Antrim,Hillsborough,Governor,,D,Jackie Cilley,False,0
Ashland,Grafton,Governor,,D,Jackie Cilley,False,0
At. & Gil. Academy Grant,Coos,Governor,,D,Jackie Cilley,False,0
Atkinson,Rockingham,Governor,,D,Jackie Cilley,False,2
Auburn,Rockingham,Governor,,D,Jackie Cilley,False,4
Barnstead,Belknap,Governor,,D,Jackie Cilley,False,4
Barrington,Strafford,Governor,,D,Jackie Cilley,False,11
Bartlett,Carroll,Governor,,D,Jackie Cilley,False,0
Bath,Grafton,Governor,,D,Jackie Cilley,False,2
Bean's Grant,Coos,Governor,,D,Jackie Cilley,False,0
Bean's Purchase,Coos,Governor,,D,Jackie Cilley,False,0
Bedford,Hillsborough,Governor,,D,Jackie Cilley,False,0
Belmont,Belknap,Governor,,D,Jackie Cilley,False,12
Bennington,Hillsborough,Governor,,D,Jackie Cilley,False,0
Benton,Grafton,Governor,,D,Jackie Cilley,False,0
Berlin,Coos,Governor,,D,Jackie Cilley,False,11
Bethlehem,Grafton,Governor,,D,Jackie Cilley,False,3
Boscawen,Merrimack,Governor,,D,Jackie Cilley,False,0
Bow,Merrimack,Governor,,D,Jackie Cilley,False,11
Bradford,Merrimack,Governor,,D,Jackie Cilley,False,1
Brentwood,Rockingham,Governor,,D,Jackie Cilley,False,0
Bridgewater,Grafton,Governor,,D,Jackie Cilley,False,0
Bristol,Grafton,Governor,,D,Jackie Cilley,False,0
Brookfield,Carroll,Governor,,D,Jackie Cilley,False,0
Brookline,Hillsborough,Governor,,D,Jackie Cilley,False,1
Cambridge,Coos,Governor,,D,Jackie Cilley,False,0
Campton,Grafton,Governor,,D,Jackie Cilley,False,2
Canaan,Grafton,Governor,,D,Jackie Cilley,False,0
Candia,Rockingham,Governor,,D,Jackie Cilley,False,0
Canterbury,Merrimack,Governor,,D,Jackie Cilley,False,5
Carroll,Coos,Governor,,D,Jackie Cilley,False,0
Center Harbor,Belknap,Governor,,D,Jackie Cilley,False,0
Chandler's Purchase,Coos,Governor,,D,Jackie Cilley,False,0
Charlestown,Sullivan,Governor,,D,Jackie Cilley,False,1
Chatham,Carroll,Governor,,D,Jackie Cilley,False,0
Chester,Rockingham,Governor,,D,Jackie Cilley,False,1
Chesterfield,Cheshire,Governor,,D,Jackie Cilley,False,1
Chichester,Merrimack,Governor,,D,Jackie Cilley,False,1
Claremont,Sullivan,Governor,,D,Jackie Cilley,False,6
Clarksville,Coos,Governor,,D,Jackie Cilley,False,0
Colebrook,Coos,Governor,,D,Jackie Cilley,False,0
Columbia,Coos,Governor,,D,Jackie Cilley,False,0
Concord,Merrimack,Governor,,D,Jackie Cilley,False,31
Conway,Carroll,Governor,,D,Jackie Cilley,False,8
Cornish,Sullivan,Governor,,D,Jackie Cilley,False,0
Crawford's Purchase,Coos,Governor,,D,Jackie Cilley,False,0
Croydon,Sullivan,Governor,,D,Jackie Cilley,False,1
Cutt's Grant,Coos,Governor,,D,Jackie Cilley,False,0
Dalton,Coos,Governor,,D,Jackie Cilley,False,0
Danbury,Merrimack,Governor,,D,Jackie Cilley,False,0
Danville,Rockingham,Governor,,D,Jackie Cilley,False,1
Deerfield,Rockingham,Governor,,D,Jackie Cilley,False,3
Deering,Hillsborough,Governor,,D,Jackie Cilley,False,1
Derry,Rockingham,Governor,,D,Jackie Cilley,False,0
Dix's Grant,Coos,Governor,,D,Jackie Cilley,False,0
Dixville,Coos,Governor,,D,Jackie Cilley,False,0
Dorchester,Grafton,Governor,,D,Jackie Cilley,False,0
Dover,Strafford,Governor,,D,Jackie Cilley,False,12
Dublin,Cheshire,Governor,,D,Jackie Cilley,False,1
Dummer,Coos,Governor,,D,Jackie Cilley,False,0
Dunbarton,Merrimack,Governor,,D,Jackie Cilley,False,2
Durham,Strafford,Governor,,D,Jackie Cilley,False,0
