town,county,office,district,party,candidate,winner,votes
Acworth,Sullivan,U.S. House,2,R,Will Dean,False,3
Alexandria,Grafton,U.S. House,2,R,Will Dean,False,6
Allenstown,Merrimack,U.S. House,2,R,Will Dean,False,11
Alstead,Cheshire,U.S. House,2,R,Will Dean,False,8
Amherst,Hillsborough,U.S. House,2,R,Will Dean,False,36
Andover,Merrimack,U.S. House,2,R,Will Dean,False,12
Antrim,Hillsborough,U.S. House,2,R,Will Dean,False,4
Ashland,Grafton,U.S. House,2,R,Will Dean,False,11
At. & Gil. Academy Grant,Coos,U.S. House,2,R,Will Dean,False,0
Atkinson,Rockingham,U.S. House,2,R,Will Dean,False,24
Bath,Grafton,U.S. House,2,R,Will Dean,False,6
Bean's Grant,Coos,U.S. House,2,R,Will Dean,False,0
Bean's Purchase,Coos,U.S. House,2,R,Will Dean,False,0
Bennington,Hillsborough,U.S. House,2,R,Will Dean,False,4
Benton,Grafton,U.S. House,2,R,Will Dean,False,3
Berlin,Coos,U.S. House,2,R,Will Dean,False,14
Bethlehem,Grafton,U.S. House,2,R,Will Dean,False,16
Boscawen,Merrimack,U.S. House,2,R,Will Dean,False,22
Bow,Merrimack,U.S. House,2,R,Will Dean,False,41
Bradford,Merrimack,U.S. House,2,R,Will Dean,False,7
Bridgewater,Grafton,U.S. House,2,R,Will Dean,False,1
Bristol,Grafton,U.S. House,2,R,Will Dean,False,10
Brookline,Hillsborough,U.S. House,2,R,Will Dean,False,17
Cambridge,Coos,U.S. House,2,R,Will Dean,False,0
Canaan,Grafton,U.S. House,2,R,Will Dean,False,11
Canterbury,Merrimack,U.S. House,2,R,Will Dean,False,11
Carroll,Coos,U.S. House,2,R,Will Dean,False,3
Center Harbor,Belknap,U.S. House,2,R,Will Dean,False,7
Chandler's Purchase,Coos,U.S. House,2,R,Will Dean,False,0
Charlestown,Sullivan,U.S. House,2,R,Will Dean,False,16
Chesterfield,Cheshire,U.S. House,2,R,Will Dean,False,12
Chichester,Merrimack,U.S. House,2,R,Will Dean,False,26
Claremont,Sullivan,U.S. House,2,R,Will Dean,False,28
