town,county,office,district,party,candidate,winner,votes
Center Harbor,Belknap,State Representative,1,D,Gulick ,False,0
New Hampton,Belknap,State Representative,1,D,Gulick ,False,1
Center Harbor,Belknap,State Representative,1,R,Quinney,True,144
New Hampton,Belknap,State Representative,1,R,Quinney,True,205
Center Harbor,Belknap,State Representative,1,,Scatter,False,2
New Hampton,Belknap,State Representative,1,,Scatter,False,3
Gilford,Belknap,State Representative,2,D,DiMartino,False,18
Meredith,Belknap,State Representative,2,D,DiMartino,False,0
Gilford,Belknap,State Representative,2,R,"Greemore, Jr.",True,630
Meredith,Belknap,State Representative,2,R,"Greemore, Jr.",True,540
Gilford,Belknap,State Representative,2,D,Johnson,False,5
Meredith,Belknap,State Representative,2,D,Johnson,False,19
Gilford,Belknap,State Representative,2,R,Leandro,True,728
Meredith,Belknap,State Representative,2,R,Leandro,True,456
Gilford,Belknap,State Representative,2,D,Miller,False,4
Meredith,Belknap,State Representative,2,D,Miller,False,2
Gilford,Belknap,State Representative,2,D,Mucci,False,4
Meredith,Belknap,State Representative,2,D,Mucci,False,1
Gilford,Belknap,State Representative,2,,Scatter,False,26
Meredith,Belknap,State Representative,2,,Scatter,False,0
Gilford,Belknap,State Representative,2,R,Vadney,True,599
Meredith,Belknap,State Representative,2,R,Vadney,True,561
Gilford,Belknap,State Representative,2,R,Worsman,True,661
Meredith,Belknap,State Representative,2,R,Worsman,True,572
Laconia,Belknap,State Representative,3,R,Deshaies,False,675
Laconia,Belknap,State Representative,3,R,Flanders,True,1045
Laconia,Belknap,State Representative,3,R,Kingsbury,True,830
Laconia,Belknap,State Representative,3,R,Luther,True,838
Laconia,Belknap,State Representative,3,R,Tilton,True,1087
Laconia,Belknap,State Representative,3,D,Fisher,False,1
Laconia,Belknap,State Representative,3,D,Huot,False,5
Laconia,Belknap,State Representative,3,,Scatter,False,23
Laconia,Belknap,State Representative,3,D,Smith,False,1
Laconia,Belknap,State Representative,3,D,Vaillancourt,False,4
Sanbornton,Belknap,State Representative,4,D,Alden,False,0
Tilton,Belknap,State Representative,4,D,Alden,False,3
Sanbornton,Belknap,State Representative,4,R,Fields,True,246
Tilton,Belknap,State Representative,4,R,Fields,True,214
Sanbornton,Belknap,State Representative,4,R,"Lang, Sr.",True,155
Tilton,Belknap,State Representative,4,R,"Lang, Sr.",True,153
Sanbornton,Belknap,State Representative,4,D,Raymond,False,10
Tilton,Belknap,State Representative,4,D,Raymond,False,1
Sanbornton,Belknap,State Representative,4,D,Robinson,False,0
Tilton,Belknap,State Representative,4,D,Robinson,False,0
Sanbornton,Belknap,State Representative,4,,Scatter,False,11
Tilton,Belknap,State Representative,4,,Scatter,False,3
Alton,Belknap,State Representative,5,R,Burchell,True,372
Gilmanton,Belknap,State Representative,5,R,Burchell,True,280
Alton,Belknap,State Representative,5,D,Chase,False,0
Gilmanton,Belknap,State Representative,5,D,Chase,False,1
Alton,Belknap,State Representative,5,D,Henry,False,1
Gilmanton,Belknap,State Representative,5,D,Henry,False,0
Alton,Belknap,State Representative,5,R,Holmes,True,566
Gilmanton,Belknap,State Representative,5,R,Holmes,True,187
Alton,Belknap,State Representative,5,,Scatter,False,3
Gilmanton,Belknap,State Representative,5,,Scatter,False,2
Belmont,Belknap,State Representative,6,D,Condo-demetraky,False,0
Belmont,Belknap,State Representative,6,D,Cormier,False,0
Belmont,Belknap,State Representative,6,,Ellis-Hopkins,False,140
Belmont,Belknap,State Representative,6,,Fink,False,275
Belmont,Belknap,State Representative,6,,Scatter,False,0
Belmont,Belknap,State Representative,6,,Sylvia,False,216
Barnstead,Belknap,State Representative,7,R,Comtois,True,303
Barnstead,Belknap,State Representative,7,D,Marriott,False,0
Barnstead,Belknap,State Representative,7,,Scatter,False,0
Barnstead,Belknap,State Representative,7,R,Swinford,False,206
Alton,Belknap,State Representative,8,R,Bolster,False,244
Barnstead,Belknap,State Representative,8,R,Bolster,False,176
Gilmanton,Belknap,State Representative,8,R,Bolster,False,154
Alton,Belknap,State Representative,8,R,Cormier,True,638
Barnstead,Belknap,State Representative,8,R,Cormier,True,292
Gilmanton,Belknap,State Representative,8,R,Cormier,True,264
Alton,Belknap,State Representative,8,,Scatter,False,0
Barnstead,Belknap,State Representative,8,,Scatter,False,0
Gilmanton,Belknap,State Representative,8,,Scatter,False,0
Alton,Belknap,State Representative,8,D,Smith,False,0
Barnstead,Belknap,State Representative,8,D,Smith,False,0
Gilmanton,Belknap,State Representative,8,D,Smith,False,0
Belmont,Belknap,State Representative,9,R,Accornero,True,279
