town,county,office,district,party,candidate,winner,votes
At. & Gil. Academy Grant,Coos,State Senate,1,R,Dumaine,False,0
Bath,Grafton,State Senate,1,R,Dumaine,False,34
Bean's Grant,Coos,State Senate,1,R,Dumaine,False,0
Bean's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Benton,Grafton,State Senate,1,R,Dumaine,False,10
Berlin,Coos,State Senate,1,R,Dumaine,False,188
Bethlehem,Grafton,State Senate,1,R,Dumaine,False,72
Cambridge,Coos,State Senate,1,R,Dumaine,False,1
Carroll,Coos,State Senate,1,R,Dumaine,False,26
Chandler's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Clarksville,Coos,State Senate,1,R,Dumaine,False,19
Colebrook,Coos,State Senate,1,R,Dumaine,False,141
Columbia,Coos,State Senate,1,R,Dumaine,False,49
Crawford's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Cutt's Grant,Coos,State Senate,1,R,Dumaine,False,0
Dalton,Coos,State Senate,1,R,Dumaine,False,28
Dix's Grant,Coos,State Senate,1,R,Dumaine,False,0
Dixville,Coos,State Senate,1,R,Dumaine,False,2
Dummer,Coos,State Senate,1,R,Dumaine,False,10
Easton,Grafton,State Senate,1,R,Dumaine,False,3
Errol,Coos,State Senate,1,R,Dumaine,False,15
Erving's Location,Coos,State Senate,1,R,Dumaine,False,0
Franconia,Grafton,State Senate,1,R,Dumaine,False,34
Gorham,Coos,State Senate,1,R,Dumaine,False,70
Green's Grant,Coos,State Senate,1,R,Dumaine,False,0
Hadley's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Jefferson,Coos,State Senate,1,R,Dumaine,False,35
Kilkenny,Coos,State Senate,1,R,Dumaine,False,0
Lancaster,Coos,State Senate,1,R,Dumaine,False,139
Landaff,Grafton,State Senate,1,R,Dumaine,False,8
Lincoln,Grafton,State Senate,1,R,Dumaine,False,21
Lisbon,Grafton,State Senate,1,R,Dumaine,False,36
Littleton,Grafton,State Senate,1,R,Dumaine,False,167
Livermore,Grafton,State Senate,1,R,Dumaine,False,0
Low & Burbank's Grant,Coos,State Senate,1,R,Dumaine,False,0
Lyman,Grafton,State Senate,1,R,Dumaine,False,15
Martin's Location,Coos,State Senate,1,R,Dumaine,False,0
Milan,Coos,State Senate,1,R,Dumaine,False,83
Millsfield,Coos,State Senate,1,R,Dumaine,False,8
Monroe,Grafton,State Senate,1,R,Dumaine,False,27
Northumberland,Coos,State Senate,1,R,Dumaine,False,54
Odell,Coos,State Senate,1,R,Dumaine,False,0
Pinkham's Grant,Coos,State Senate,1,R,Dumaine,False,0
Pittsburg,Coos,State Senate,1,R,Dumaine,False,76
Randolph,Coos,State Senate,1,R,Dumaine,False,19
Sargent's Purchase,Coos,State Senate,1,R,Dumaine,False,0
Second College Grant,Coos,State Senate,1,R,Dumaine,False,0
Shelburne,Coos,State Senate,1,R,Dumaine,False,15
Stark,Coos,State Senate,1,R,Dumaine,False,25
Stewartstown,Coos,State Senate,1,R,Dumaine,False,39
Stratford,Coos,State Senate,1,R,Dumaine,False,13
Success,Coos,State Senate,1,R,Dumaine,False,0
Sugar Hill,Grafton,State Senate,1,R,Dumaine,False,14
Thompson & Meserve's Pur.,Coos,State Senate,1,R,Dumaine,False,0
Thornton,Grafton,State Senate,1,R,Dumaine,False,56
Wentworth's Location,Coos,State Senate,1,R,Dumaine,False,1
Whitefield,Coos,State Senate,1,R,Dumaine,False,34
Woodstock,Grafton,State Senate,1,R,Dumaine,False,45
At. & Gil. Academy Grant,Coos,State Senate,1,,Scatter,False,0
Bath,Grafton,State Senate,1,,Scatter,False,0
Bean's Grant,Coos,State Senate,1,,Scatter,False,0
Bean's Purchase,Coos,State Senate,1,,Scatter,False,0
Benton,Grafton,State Senate,1,,Scatter,False,0
Berlin,Coos,State Senate,1,,Scatter,False,15
Bethlehem,Grafton,State Senate,1,,Scatter,False,0
Cambridge,Coos,State Senate,1,,Scatter,False,0
Carroll,Coos,State Senate,1,,Scatter,False,0
Chandler's Purchase,Coos,State Senate,1,,Scatter,False,0
Clarksville,Coos,State Senate,1,,Scatter,False,0
Colebrook,Coos,State Senate,1,,Scatter,False,2
Columbia,Coos,State Senate,1,,Scatter,False,0
Crawford's Purchase,Coos,State Senate,1,,Scatter,False,0
Cutt's Grant,Coos,State Senate,1,,Scatter,False,0
Dalton,Coos,State Senate,1,,Scatter,False,0
Dix's Grant,Coos,State Senate,1,,Scatter,False,0
Dixville,Coos,State Senate,1,,Scatter,False,0
Dummer,Coos,State Senate,1,,Scatter,False,0
Easton,Grafton,State Senate,1,,Scatter,False,0
Errol,Coos,State Senate,1,,Scatter,False,0
Erving's Location,Coos,State Senate,1,,Scatter,False,0
Franconia,Grafton,State Senate,1,,Scatter,False,0
Gorham,Coos,State Senate,1,,Scatter,False,0
Green's Grant,Coos,State Senate,1,,Scatter,False,0
Hadley's Purchase,Coos,State Senate,1,,Scatter,False,0
Jefferson,Coos,State Senate,1,,Scatter,False,1
Kilkenny,Coos,State Senate,1,,Scatter,False,0
Lancaster,Coos,State Senate,1,,Scatter,False,6
Landaff,Grafton,State Senate,1,,Scatter,False,1
Lincoln,Grafton,State Senate,1,,Scatter,False,1
Lisbon,Grafton,State Senate,1,,Scatter,False,0
Littleton,Grafton,State Senate,1,,Scatter,False,0
Livermore,Grafton,State Senate,1,,Scatter,False,0
Low & Burbank's Grant,Coos,State Senate,1,,Scatter,False,0
Lyman,Grafton,State Senate,1,,Scatter,False,1
Martin's Location,Coos,State Senate,1,,Scatter,False,0
Milan,Coos,State Senate,1,,Scatter,False,0
Millsfield,Coos,State Senate,1,,Scatter,False,0
Monroe,Grafton,State Senate,1,,Scatter,False,0
Northumberland,Coos,State Senate,1,,Scatter,False,0
Odell,Coos,State Senate,1,,Scatter,False,0
Pinkham's Grant,Coos,State Senate,1,,Scatter,False,0
Pittsburg,Coos,State Senate,1,,Scatter,False,0
Randolph,Coos,State Senate,1,,Scatter,False,0
Sargent's Purchase,Coos,State Senate,1,,Scatter,False,0
Second College Grant,Coos,State Senate,1,,Scatter,False,0
Shelburne,Coos,State Senate,1,,Scatter,False,0
Stark,Coos,State Senate,1,,Scatter,False,0
Stewartstown,Coos,State Senate,1,,Scatter,False,1
Stratford,Coos,State Senate,1,,Scatter,False,0
Success,Coos,State Senate,1,,Scatter,False,0
Sugar Hill,Grafton,State Senate,1,,Scatter,False,0
Thompson & Meserve's Pur.,Coos,State Senate,1,,Scatter,False,0
Thornton,Grafton,State Senate,1,,Scatter,False,2
Wentworth's Location,Coos,State Senate,1,,Scatter,False,0
Whitefield,Coos,State Senate,1,,Scatter,False,1
Woodstock,Grafton,State Senate,1,,Scatter,False,0
At. & Gil. Academy Grant,Coos,State Senate,1,R,Warner,True,0
Bath,Grafton,State Senate,1,R,Warner,True,79
Bean's Grant,Coos,State Senate,1,R,Warner,True,0
Bean's Purchase,Coos,State Senate,1,R,Warner,True,0
Benton,Grafton,State Senate,1,R,Warner,True,27
Berlin,Coos,State Senate,1,R,Warner,True,276
Bethlehem,Grafton,State Senate,1,R,Warner,True,91
Cambridge,Coos,State Senate,1,R,Warner,True,1
Carroll,Coos,State Senate,1,R,Warner,True,36
Chandler's Purchase,Coos,State Senate,1,R,Warner,True,0
Clarksville,Coos,State Senate,1,R,Warner,True,26
Colebrook,Coos,State Senate,1,R,Warner,True,112
Columbia,Coos,State Senate,1,R,Warner,True,28
Crawford's Purchase,Coos,State Senate,1,R,Warner,True,0
Cutt's Grant,Coos,State Senate,1,R,Warner,True,0
Dalton,Coos,State Senate,1,R,Warner,True,69
Dix's Grant,Coos,State Senate,1,R,Warner,True,0
Dixville,Coos,State Senate,1,R,Warner,True,4
Dummer,Coos,State Senate,1,R,Warner,True,26
Easton,Grafton,State Senate,1,R,Warner,True,30
Errol,Coos,State Senate,1,R,Warner,True,36
Erving's Location,Coos,State Senate,1,R,Warner,True,0
Franconia,Grafton,State Senate,1,R,Warner,True,97
Gorham,Coos,State Senate,1,R,Warner,True,124
Green's Grant,Coos,State Senate,1,R,Warner,True,0
Hadley's Purchase,Coos,State Senate,1,R,Warner,True,0
Jefferson,Coos,State Senate,1,R,Warner,True,114
Kilkenny,Coos,State Senate,1,R,Warner,True,0
Lancaster,Coos,State Senate,1,R,Warner,True,201
Landaff,Grafton,State Senate,1,R,Warner,True,26
Lincoln,Grafton,State Senate,1,R,Warner,True,70
Lisbon,Grafton,State Senate,1,R,Warner,True,55
Littleton,Grafton,State Senate,1,R,Warner,True,315
Livermore,Grafton,State Senate,1,R,Warner,True,0
Low & Burbank's Grant,Coos,State Senate,1,R,Warner,True,0
Lyman,Grafton,State Senate,1,R,Warner,True,27
Martin's Location,Coos,State Senate,1,R,Warner,True,0
Milan,Coos,State Senate,1,R,Warner,True,82
Millsfield,Coos,State Senate,1,R,Warner,True,5
Monroe,Grafton,State Senate,1,R,Warner,True,74
Northumberland,Coos,State Senate,1,R,Warner,True,84
Odell,Coos,State Senate,1,R,Warner,True,0
Pinkham's Grant,Coos,State Senate,1,R,Warner,True,0
Pittsburg,Coos,State Senate,1,R,Warner,True,79
Randolph,Coos,State Senate,1,R,Warner,True,22
Sargent's Purchase,Coos,State Senate,1,R,Warner,True,0
Second College Grant,Coos,State Senate,1,R,Warner,True,0
Shelburne,Coos,State Senate,1,R,Warner,True,36
Stark,Coos,State Senate,1,R,Warner,True,20
Stewartstown,Coos,State Senate,1,R,Warner,True,42
Stratford,Coos,State Senate,1,R,Warner,True,18
Success,Coos,State Senate,1,R,Warner,True,0
Sugar Hill,Grafton,State Senate,1,R,Warner,True,52
Thompson & Meserve's Pur.,Coos,State Senate,1,R,Warner,True,0
Thornton,Grafton,State Senate,1,R,Warner,True,111
Wentworth's Location,Coos,State Senate,1,R,Warner,True,0
Whitefield,Coos,State Senate,1,R,Warner,True,143
Woodstock,Grafton,State Senate,1,R,Warner,True,53
At. & Gil. Academy Grant,Coos,State Senate,1,D,Woodburn,False,0
Bath,Grafton,State Senate,1,D,Woodburn,False,0
Bean's Grant,Coos,State Senate,1,D,Woodburn,False,0
Bean's Purchase,Coos,State Senate,1,D,Woodburn,False,0
Benton,Grafton,State Senate,1,D,Woodburn,False,0
Berlin,Coos,State Senate,1,D,Woodburn,False,2
Bethlehem,Grafton,State Senate,1,D,Woodburn,False,1
Cambridge,Coos,State Senate,1,D,Woodburn,False,0
Carroll,Coos,State Senate,1,D,Woodburn,False,0
Chandler's Purchase,Coos,State Senate,1,D,Woodburn,False,0
Clarksville,Coos,State Senate,1,D,Woodburn,False,0
Colebrook,Coos,State Senate,1,D,Woodburn,False,2
Columbia,Coos,State Senate,1,D,Woodburn,False,1
Crawford's Purchase,Coos,State Senate,1,D,Woodburn,False,0
Cutt's Grant,Coos,State Senate,1,D,Woodburn,False,0
Dalton,Coos,State Senate,1,D,Woodburn,False,1
Dix's Grant,Coos,State Senate,1,D,Woodburn,False,0
Dixville,Coos,State Senate,1,D,Woodburn,False,0
Dummer,Coos,State Senate,1,D,Woodburn,False,0
Easton,Grafton,State Senate,1,D,Woodburn,False,0
Errol,Coos,State Senate,1,D,Woodburn,False,0
Erving's Location,Coos,State Senate,1,D,Woodburn,False,0
Franconia,Grafton,State Senate,1,D,Woodburn,False,0
Gorham,Coos,State Senate,1,D,Woodburn,False,2
Green's Grant,Coos,State Senate,1,D,Woodburn,False,0
Hadley's Purchase,Coos,State Senate,1,D,Woodburn,False,0
Jefferson,Coos,State Senate,1,D,Woodburn,False,4
Kilkenny,Coos,State Senate,1,D,Woodburn,False,0
Lancaster,Coos,State Senate,1,D,Woodburn,False,6
Landaff,Grafton,State Senate,1,D,Woodburn,False,0
Lincoln,Grafton,State Senate,1,D,Woodburn,False,0
Lisbon,Grafton,State Senate,1,D,Woodburn,False,0
Littleton,Grafton,State Senate,1,D,Woodburn,False,0
Livermore,Grafton,State Senate,1,D,Woodburn,False,0
Low & Burbank's Grant,Coos,State Senate,1,D,Woodburn,False,0
Lyman,Grafton,State Senate,1,D,Woodburn,False,0
Martin's Location,Coos,State Senate,1,D,Woodburn,False,0
Milan,Coos,State Senate,1,D,Woodburn,False,1
Millsfield,Coos,State Senate,1,D,Woodburn,False,0
Monroe,Grafton,State Senate,1,D,Woodburn,False,0
Northumberland,Coos,State Senate,1,D,Woodburn,False,1
Odell,Coos,State Senate,1,D,Woodburn,False,0
Pinkham's Grant,Coos,State Senate,1,D,Woodburn,False,0
Pittsburg,Coos,State Senate,1,D,Woodburn,False,2
Randolph,Coos,State Senate,1,D,Woodburn,False,0
Sargent's Purchase,Coos,State Senate,1,D,Woodburn,False,0
Second College Grant,Coos,State Senate,1,D,Woodburn,False,0
Shelburne,Coos,State Senate,1,D,Woodburn,False,0
Stark,Coos,State Senate,1,D,Woodburn,False,1
Stewartstown,Coos,State Senate,1,D,Woodburn,False,1
Stratford,Coos,State Senate,1,D,Woodburn,False,0
Success,Coos,State Senate,1,D,Woodburn,False,0
Sugar Hill,Grafton,State Senate,1,D,Woodburn,False,0
Thompson & Meserve's Pur.,Coos,State Senate,1,D,Woodburn,False,0
Thornton,Grafton,State Senate,1,D,Woodburn,False,3
Wentworth's Location,Coos,State Senate,1,D,Woodburn,False,0
Whitefield,Coos,State Senate,1,D,Woodburn,False,0
Woodstock,Grafton,State Senate,1,D,Woodburn,False,0
Alexandria,Grafton,State Senate,2,R,Forrester,True,152
Ashland,Grafton,State Senate,2,R,Forrester,True,183
